# chunk 1009 1409 levels 0..0 squares 64
1009 1409 8072 11272 0 | diamondFloor,exterior,solidfloor | 104=14 | 134004735 134004735 0 | 0 0 1 | 112 | -1 | @8032,11272
1009 1409 8076 11277 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11272
1009 1409 8077 11277 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11272
1009 1409 8078 11277 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11272
1009 1409 8079 11277 0 | diamondFloor,exterior,solidfloor | 104=14 | 134113791 134113791 0 | 0 0 1 | 31 | -1 | @8032,11272
1009 1409 8072 11278 0 | diamondFloor,exterior,solidfloor | 104=14 | 134001663 134001663 0 | 0 0 1 | 241 | -1 | @8032,11272
1009 1409 8073 11278 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11272
1009 1409 8074 11278 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11272
1009 1409 8075 11278 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11272
1009 1409 8076 11278 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11272
1009 1409 8077 11278 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11272
1009 1409 8078 11278 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11272
1009 1409 8079 11278 0 | diamondFloor,exterior,solidfloor | 104=14 | 134113791 134113791 0 | 0 0 1 | 31 | -1 | @8032,11272
1009 1409 8072 11279 0 | attachedFloor,canBeRemoved,diamondFloor,exterior,solidfloor | 23=1,38=0,93=0,101=0,104=2,230=0 | 134198271 134198271 0 | 0 0 1 | 193 | -1 | @8032,11272
1009 1409 8073 11279 0 | attachedFloor,diamondFloor,exterior,solidfloor | 23=1,38=0,104=2,230=0 | 134193663 134193663 0 | 0 0 1 | 199 | -1 | @8032,11272
1009 1409 8074 11279 0 | diamondFloor,exterior,solidfloor | 23=1,38=0,104=1,230=0 | 134193663 134193663 0 | 0 0 1 | 199 | -1 | @8032,11272
1009 1409 8075 11279 0 | attachedFloor,diamondFloor,exterior,solidfloor | 23=1,38=0,104=2,230=0 | 134193663 134193663 0 | 0 0 1 | 199 | -1 | @8032,11272
1009 1409 8076 11279 0 | attachedFloor,diamondFloor,exterior,solidfloor | 23=1,38=0,104=2,230=0 | 134193663 134193663 0 | 0 0 1 | 199 | -1 | @8032,11272
1009 1409 8077 11279 0 | canBeRemoved,diamondFloor,exterior,solidfloor | 23=1,38=0,93=0,101=0,104=1,230=0 | 134193663 134193663 0 | 0 0 1 | 199 | -1 | @8032,11272
1009 1409 8078 11279 0 | canBeRemoved,diamondFloor,exterior,solidfloor | 23=1,38=0,39=0,93=0,104=1,230=0 | 134193663 134193663 0 | 0 0 1 | 199 | -1 | @8032,11272
1009 1409 8079 11279 0 | diamondFloor,exterior,solidfloor | 23=1,38=0,104=1,230=0 | 134212095 134212095 0 | 0 0 1 | 7 | -1 | @8032,11272
# chunk 1009 1408 levels 0..0 squares 64
1009 1408 8072 11264 0 | diamondFloor,exterior,solidfloor | 104=14 | 134004735 134004735 0 | 0 0 1 | 112 | -1 | @8032,11264
1009 1408 8073 11264 0 | diamondFloor,exterior,solidfloor | 104=14 | 133967871 133967871 0 | 0 0 1 | 124 | -1 | @8032,11264
1009 1408 8074 11264 0 | diamondFloor,exterior,solidfloor | 104=14 | 133967871 133967871 0 | 0 0 1 | 124 | -1 | @8032,11264
1009 1408 8075 11264 0 | diamondFloor,exterior,solidfloor | 104=14 | 133967871 133967871 0 | 0 0 1 | 124 | -1 | @8032,11264
1009 1408 8076 11264 0 | diamondFloor,exterior,solidfloor | 104=14 | 133967871 133967871 0 | 0 0 1 | 124 | -1 | @8032,11264
1009 1408 8077 11264 0 | diamondFloor,exterior,solidfloor | 104=14 | 133967871 133967871 0 | 0 0 1 | 124 | -1 | @8032,11264
1009 1408 8078 11264 0 | diamondFloor,exterior,solidfloor | 104=14 | 133967871 133967871 0 | 0 0 1 | 124 | -1 | @8032,11264
1009 1408 8079 11264 0 | diamondFloor,exterior,solidfloor | 104=14 | 134115327 134115327 0 | 0 0 1 | 28 | -1 | @8032,11264
1009 1408 8072 11265 0 | diamondFloor,exterior,solidfloor | 104=14 | 134001663 134001663 0 | 0 0 1 | 241 | -1 | @8032,11264
1009 1408 8073 11265 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11264
1009 1408 8074 11265 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11264
1009 1408 8075 11265 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11264
1009 1408 8076 11265 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11264
1009 1408 8077 11265 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11264
1009 1408 8078 11265 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11264
1009 1408 8079 11265 0 | diamondFloor,exterior,solidfloor | 104=14 | 134113791 134113791 0 | 0 0 1 | 31 | -1 | @8032,11264
1009 1408 8072 11266 0 | diamondFloor,exterior,solidfloor | 104=14 | 134001663 134001663 0 | 0 0 1 | 241 | -1 | @8032,11264
1009 1408 8073 11266 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11264
1009 1408 8074 11266 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11264
1009 1408 8075 11266 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11264
1009 1408 8076 11266 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11264
1009 1408 8077 11266 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11264
1009 1408 8078 11266 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11264
1009 1408 8079 11266 0 | diamondFloor,exterior,solidfloor | 104=14 | 134113791 134113791 0 | 0 0 1 | 31 | -1 | @8032,11264
1009 1408 8072 11267 0 | diamondFloor,exterior,solidfloor | 104=14 | 134001663 134001663 0 | 0 0 1 | 241 | -1 | @8032,11264
1009 1408 8073 11267 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11264
1009 1408 8074 11267 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11264
1009 1408 8075 11267 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11264
1009 1408 8076 11267 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11264
1009 1408 8077 11267 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11264
1009 1408 8078 11267 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11264
1009 1408 8079 11267 0 | diamondFloor,exterior,solidfloor | 104=14 | 134113791 134113791 0 | 0 0 1 | 31 | -1 | @8032,11264
1009 1408 8072 11268 0 | diamondFloor,exterior,solidfloor | 104=14 | 134001663 134001663 0 | 0 0 1 | 241 | -1 | @8032,11264
1009 1408 8073 11268 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11264
1009 1408 8074 11268 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11264
1009 1408 8075 11268 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11264
1009 1408 8076 11268 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11264
1009 1408 8077 11268 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11264
1009 1408 8078 11268 0 | attachedFloor,diamondFloor,exterior,solidfloor | 23=3,104=11 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11264
1009 1408 8079 11268 0 | EntityScript,attachedFloor,diamondFloor,exterior,solidfloor | 23=3,104=11,234=11 | 134113791 134113791 0 | 0 0 1 | 31 | -1 | @8032,11264
1009 1408 8072 11269 0 | diamondFloor,exterior,solidfloor | 104=14 | 134001663 134001663 0 | 0 0 1 | 241 | -1 | @8032,11264
1009 1408 8073 11269 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11264
1009 1408 8074 11269 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11264
1009 1408 8075 11269 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11264
1009 1408 8076 11269 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11264
1009 1408 8077 11269 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11264
1009 1408 8078 11269 0 | EntityScript,attachedFloor,diamondFloor,exterior,solidfloor | 23=3,104=11,234=11 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11264
1009 1408 8079 11269 0 | attachedFloor,diamondFloor,exterior,solidfloor | 23=3,104=11 | 134113791 134113791 0 | 0 0 1 | 31 | -1 | @8032,11264
1009 1408 8072 11270 0 | diamondFloor,exterior,solidfloor | 104=14 | 134001663 134001663 0 | 0 0 1 | 241 | -1 | @8032,11264
1009 1408 8073 11270 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11264
1009 1408 8074 11270 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11264
1009 1408 8075 11270 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11264
1009 1408 8076 11270 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11264
1009 1408 8077 11270 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11264
1009 1408 8078 11270 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11264
1009 1408 8079 11270 0 | attachedFloor,diamondFloor,exterior,solidfloor | 23=3,104=11 | 134113791 134113791 0 | 0 0 1 | 31 | -1 | @8032,11264
1009 1408 8072 11271 0 | diamondFloor,exterior,solidfloor | 104=14 | 134198271 134198271 0 | 0 0 1 | 193 | -1 | @8032,11264
1009 1408 8073 11271 0 | diamondFloor,exterior,solidfloor | 104=14 | 134193663 134193663 0 | 0 0 1 | 199 | -1 | @8032,11264
1009 1408 8074 11271 0 | diamondFloor,exterior,solidfloor | 104=14 | 134193663 134193663 0 | 0 0 1 | 199 | -1 | @8032,11264
1009 1408 8075 11271 0 | diamondFloor,exterior,solidfloor | 104=14 | 134193663 134193663 0 | 0 0 1 | 199 | -1 | @8032,11264
1009 1408 8076 11271 0 | diamondFloor,exterior,solidfloor | 104=14 | 134193663 134193663 0 | 0 0 1 | 199 | -1 | @8032,11264
1009 1408 8077 11271 0 | diamondFloor,exterior,solidfloor | 104=14 | 134193663 134193663 0 | 0 0 1 | 199 | -1 | @8032,11264
1009 1408 8078 11271 0 | diamondFloor,exterior,solidfloor | 104=14 | 134193663 134193663 0 | 0 0 1 | 199 | -1 | @8032,11264
1009 1408 8079 11271 0 | diamondFloor,exterior,solidfloor | 104=14 | 134212095 134212095 0 | 0 0 1 | 7 | -1 | @8032,11264
# chunk 1009 1407 levels 0..0 squares 64
1009 1407 8072 11256 0 | diamondFloor,exterior,solidfloor | 104=14 | 134004735 134004735 0 | 0 0 1 | 112 | -1 | @8048,11216
1009 1407 8073 11256 0 | diamondFloor,exterior,solidfloor | 104=14 | 133967871 133967871 0 | 0 0 1 | 124 | -1 | @8048,11216
1009 1407 8074 11256 0 | diamondFloor,exterior,solidfloor | 104=14 | 133967871 133967871 0 | 0 0 1 | 124 | -1 | @8048,11216
1009 1407 8075 11256 0 | diamondFloor,exterior,solidfloor | 104=14 | 133967871 133967871 0 | 0 0 1 | 124 | -1 | @8048,11216
1009 1407 8076 11256 0 | diamondFloor,exterior,solidfloor | 104=14 | 133967871 133967871 0 | 0 0 1 | 124 | -1 | @8048,11216
1009 1407 8077 11256 0 | diamondFloor,exterior,solidfloor | 104=14 | 133967871 133967871 0 | 0 0 1 | 124 | -1 | @8048,11216
1009 1407 8078 11256 0 | diamondFloor,exterior,solidfloor | 104=14 | 133967871 133967871 0 | 0 0 1 | 124 | -1 | @8048,11216
1009 1407 8079 11256 0 | diamondFloor,exterior,solidfloor | 104=14 | 134115327 134115327 0 | 0 0 1 | 28 | -1 | @8048,11216
1009 1407 8072 11257 0 | diamondFloor,exterior,solidfloor | 104=14 | 134001663 134001663 0 | 0 0 1 | 241 | -1 | @8048,11216
1009 1407 8073 11257 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8048,11216
1009 1407 8074 11257 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8048,11216
1009 1407 8075 11257 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8048,11216
1009 1407 8076 11257 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8048,11216
1009 1407 8077 11257 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8048,11216
1009 1407 8078 11257 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8048,11216
1009 1407 8079 11257 0 | diamondFloor,exterior,solidfloor | 104=14 | 134113791 134113791 0 | 0 0 1 | 31 | -1 | @8048,11216
1009 1407 8072 11258 0 | diamondFloor,exterior,solidfloor | 104=14 | 134001663 134001663 0 | 0 0 1 | 241 | -1 | @8048,11216
1009 1407 8073 11258 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8048,11216
1009 1407 8074 11258 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8048,11216
1009 1407 8075 11258 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8048,11216
1009 1407 8076 11258 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8048,11216
1009 1407 8077 11258 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8048,11216
1009 1407 8078 11258 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8048,11216
1009 1407 8079 11258 0 | diamondFloor,exterior,solidfloor | 104=14 | 134113791 134113791 0 | 0 0 1 | 31 | -1 | @8048,11216
1009 1407 8072 11259 0 | diamondFloor,exterior,solidfloor | 104=14 | 134001663 134001663 0 | 0 0 1 | 241 | -1 | @8048,11216
1009 1407 8073 11259 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8048,11216
1009 1407 8074 11259 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8048,11216
1009 1407 8075 11259 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8048,11216
1009 1407 8076 11259 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8048,11216
1009 1407 8077 11259 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8048,11216
1009 1407 8078 11259 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8048,11216
1009 1407 8079 11259 0 | diamondFloor,exterior,solidfloor | 104=14 | 134113791 134113791 0 | 0 0 1 | 31 | -1 | @8048,11216
1009 1407 8072 11260 0 | diamondFloor,exterior,solidfloor | 104=14 | 134001663 134001663 0 | 0 0 1 | 241 | -1 | @8048,11216
1009 1407 8073 11260 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8048,11216
1009 1407 8074 11260 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8048,11216
1009 1407 8075 11260 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8048,11216
1009 1407 8076 11260 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8048,11216
1009 1407 8077 11260 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8048,11216
1009 1407 8078 11260 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8048,11216
1009 1407 8079 11260 0 | diamondFloor,exterior,solidfloor | 104=14 | 134113791 134113791 0 | 0 0 1 | 31 | -1 | @8048,11216
1009 1407 8072 11261 0 | diamondFloor,exterior,solidfloor | 104=14 | 134001663 134001663 0 | 0 0 1 | 241 | -1 | @8048,11216
1009 1407 8073 11261 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8048,11216
1009 1407 8074 11261 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8048,11216
1009 1407 8075 11261 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8048,11216
1009 1407 8076 11261 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8048,11216
1009 1407 8077 11261 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8048,11216
1009 1407 8078 11261 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8048,11216
1009 1407 8079 11261 0 | diamondFloor,exterior,solidfloor | 104=14 | 134113791 134113791 0 | 0 0 1 | 31 | -1 | @8048,11216
1009 1407 8072 11262 0 | diamondFloor,exterior,solidfloor | 104=14 | 134001663 134001663 0 | 0 0 1 | 241 | -1 | @8048,11216
1009 1407 8073 11262 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8048,11216
1009 1407 8074 11262 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8048,11216
1009 1407 8075 11262 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8048,11216
1009 1407 8076 11262 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8048,11216
1009 1407 8077 11262 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8048,11216
1009 1407 8078 11262 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8048,11216
1009 1407 8079 11262 0 | diamondFloor,exterior,solidfloor | 104=14 | 134113791 134113791 0 | 0 0 1 | 31 | -1 | @8048,11216
1009 1407 8072 11263 0 | diamondFloor,exterior,solidfloor | 104=14 | 134198271 134198271 0 | 0 0 1 | 193 | -1 | @8048,11216
1009 1407 8073 11263 0 | diamondFloor,exterior,solidfloor | 104=14 | 134193663 134193663 0 | 0 0 1 | 199 | -1 | @8048,11216
